nomComplet,lienWikidata,distinction,date,annee
Pierre Mignot,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,2007-01-01,2007
Marcel Jean,http://www.wikidata.org/entity/Q46416274,Award for outstanding contribution to animation studies,2014-01-01,2014
Julie Gayet,http://www.wikidata.org/entity/Q1615857,prix Romy-Schneider,1997-01-01,1997
Roger Frappier,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2017-01-01,2017
Roger Frappier,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,1999-01-01,1999
Roger Frappier,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,2010-01-01,2010
Gabriel Yared,http://www.wikidata.org/entity/Q22235329,Oscar de la meilleure partition originale pour un film dramatique,1996-01-01,1996
Gabriel Yared,http://www.wikidata.org/entity/Q1377753,Achievement in World Cinema Award,2010-01-01,2010
Gabriel Yared,http://www.wikidata.org/entity/Q13452531,commandeur des Arts et des Lettres,1997-04-10,1997
Michel Marc Bouchard,http://www.wikidata.org/entity/Q3406043,prix littéraires du Salon du livre du Saguenay-Lac-Saint-Jean,1992-01-01,1992
Michel Marc Bouchard,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2012-01-01,2012
Michel Marc Bouchard,http://www.wikidata.org/entity/Q17146779,Prix SACD de la dramaturgie francophone,2011-01-01,2011
Xavier Dolan,http://www.wikidata.org/entity/Q844804,grand prix du Festival de Cannes,2016-01-01,2016
Xavier Dolan,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2015-01-01,2015
Xavier Dolan,http://www.wikidata.org/entity/Q16671134,prix Jutra du meilleur film,2010-01-01,2010
Daniel Lanois,http://www.wikidata.org/entity/Q843219,Grammy Award de l'enregistrement de l'année,2000-01-01,2000
Daniel Lanois,http://www.wikidata.org/entity/Q691892,Grammy Award du meilleur album rock,2001-01-01,2001
Daniel Lanois,http://www.wikidata.org/entity/Q843219,Grammy Award de l'enregistrement de l'année,2001-01-01,2001
Daniel Lanois,http://www.wikidata.org/entity/Q6114830,prix Jack Richardson (producteur de l'année),2002-01-01,2002
Daniel Lanois,http://www.wikidata.org/entity/Q6114830,prix Jack Richardson (producteur de l'année),1989-01-01,1989
Daniel Lanois,http://www.wikidata.org/entity/Q6114830,prix Jack Richardson (producteur de l'année),2011-01-01,2011
Daniel Lanois,http://www.wikidata.org/entity/Q18342118,Człowiek ze Złotym Uchem,2009-01-01,2009
Daniel Lanois,http://www.wikidata.org/entity/Q3362499,Panthéon de la musique canadienne,2002-01-01,2002
Daniel Lanois,http://www.wikidata.org/entity/Q15692068,Grammy Award du producteur de l'année (non-classique),1992-01-01,1992
Daniel Lanois,http://www.wikidata.org/entity/Q6114830,prix Jack Richardson (producteur de l'année),1987-01-01,1987
Daniel Lanois,http://www.wikidata.org/entity/Q6114830,prix Jack Richardson (producteur de l'année),2009-01-01,2009
Daniel Lanois,http://www.wikidata.org/entity/Q6314081,prix Juno de l'album instrumental de l'année,2006-01-01,2006
Daniel Lanois,http://www.wikidata.org/entity/Q904528,Grammy Award de l'album de l'année,1987-01-01,1987
Daniel Lanois,http://www.wikidata.org/entity/Q857933,allée des célébrités canadiennes,2005-01-01,2005
