nomComplet,lienWikidata,distinction,date,annee
Vittorio Gassman,http://www.wikidata.org/entity/Q3319305,prix Princesse des Asturies pour les arts,1997-01-01,1997
Vittorio Gassman,http://www.wikidata.org/entity/Q586140,prix d'interprétation masculine,1975-01-01,1975
Vittorio Gassman,http://www.wikidata.org/entity/Q908858,prix Donostia,1988-01-01,1988
François Cousineau,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2011-01-01,2011
Dino Risi,http://www.wikidata.org/entity/Q900414,César du meilleur film étranger,1976-01-01,1976
Gordon Pinsent,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,2004-01-01,2004
Gordon Pinsent,http://www.wikidata.org/entity/Q857933,allée des célébrités canadiennes,2007-01-01,2007
Ken Page,http://www.wikidata.org/entity/Q1131356,Theatre World Award,1977-01-01,1977
Robert Frank,http://www.wikidata.org/entity/Q1253749,prix Erich-Salomon,1985-01-01,1985
Robert Frank,http://www.wikidata.org/entity/Q1324112,prix international de la Fondation Hasselblad,1996-01-01,1996
Robert Frank,http://www.wikidata.org/entity/Q18330715,Swiss Press Photo Lifetime Achievement Award,2012-01-01,2012
Tom Waits,http://www.wikidata.org/entity/Q179191,Rock and Roll Hall of Fame,2011-01-01,2011
Richard Todd,http://www.wikidata.org/entity/Q1150306,Disney Legend,2002-01-01,2002
Yves Montand,http://www.wikidata.org/entity/Q3404523,David di Donatello du meilleur acteur étranger,1973-01-01,1973
Alain Corneau,http://www.wikidata.org/entity/Q734335,prix Louis-Delluc,1991-01-01,1991
Alain Corneau,http://www.wikidata.org/entity/Q645595,César du meilleur film,1992-01-01,1992
Alain Corneau,http://www.wikidata.org/entity/Q24137,César du meilleur réalisateur,1992-01-01,1992
Pierre-William Glenn,http://www.wikidata.org/entity/Q13422140,officier de l'ordre national du Mérite,2017-05-02,2017
Pierre-William Glenn,http://www.wikidata.org/entity/Q13422138,chevalier de l'ordre national du Mérite,1998-03-31,1998
Anne Hébert,http://www.wikidata.org/entity/Q56379423,prix Roland-de-Jouvenel,1976-01-01,1976
Anne Hébert,http://www.wikidata.org/entity/Q51527076,docteur honoris causa de l'Université Laval,1983-01-01,1983
Anne Hébert,http://www.wikidata.org/entity/Q3404942,prix littéraire Canada-Communauté française de Belgique,1988-01-01,1988
Anne Hébert,http://www.wikidata.org/entity/Q992455,prix Molson,1967-01-01,1967
Anne Hébert,http://www.wikidata.org/entity/Q18945,prix Femina,1982-01-01,1982
Anne Hébert,http://www.wikidata.org/entity/Q3405179,prix Québec-Paris,1958-01-01,1958
Anne Hébert,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,1960-01-01,1960
Anne Hébert,http://www.wikidata.org/entity/Q3404375,prix Athanase-David,1978-01-01,1978
Kobo Abe,http://www.wikidata.org/entity/Q1648933,prix Tanizaki,1967-01-01,1967
Kobo Abe,http://www.wikidata.org/entity/Q424160,prix Akutagawa,1951-01-01,1951
Toru Takemitsu,http://www.wikidata.org/entity/Q13452528,chevalier des Arts et des Lettres,1985-01-01,1985
Toru Takemitsu,http://www.wikidata.org/entity/Q1437834,prix Grawemeyer,1994-01-01,1994
Jean Rouch,http://www.wikidata.org/entity/Q67881293,prix Liotard,1948-01-01,1948
Jean Rouch,http://www.wikidata.org/entity/Q97556388,docteur honoris causa de l'université de Leyde,1980-01-01,1980
Monique Proulx,http://www.wikidata.org/entity/Q3405932,Prix littéraire Adrienne-Choquette,1983-01-01,1983
Monique Proulx,http://www.wikidata.org/entity/Q3405179,prix Québec-Paris,1993-01-01,1993
Monique Proulx,http://www.wikidata.org/entity/Q3405940,Prix littéraire Desjardins,1994-01-01,1994
Hector Berlioz,http://www.wikidata.org/entity/Q10855271,chevalier de la Légion d'honneur,1839-05-10,1839
Hector Berlioz,http://www.wikidata.org/entity/Q10855195,officier de la Légion d'honneur,1864-08-12,1864
Marc Favreau,http://www.wikidata.org/entity/Q3404649,prix Georges-Émile-Lapalme,1999-01-01,1999
Louis Caron,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2008-01-01,2008
Louis Caron,http://www.wikidata.org/entity/Q3405179,prix Québec-Paris,1977-01-01,1977
Maurice Jarre,http://www.wikidata.org/entity/Q488651,Oscar de la meilleure musique de film,1962-01-01,1962
Maurice Jarre,http://www.wikidata.org/entity/Q488651,Oscar de la meilleure musique de film,1965-01-01,1965
Maurice Jarre,http://www.wikidata.org/entity/Q488651,Oscar de la meilleure musique de film,1984-01-01,1984
Maurice Jarre,http://www.wikidata.org/entity/Q1377753,Achievement in World Cinema Award,2005-01-01,2005
Maurice Jarre,http://www.wikidata.org/entity/Q787098,British Academy Film Award de la meilleure musique de film,1990-01-01,1990
Maurice Jarre,http://www.wikidata.org/entity/Q787098,British Academy Film Award de la meilleure musique de film,1986-01-01,1986
Maurice Jarre,http://www.wikidata.org/entity/Q1422140,Golden Globe de la meilleure musique de film,1995-01-01,1995
Maurice Jarre,http://www.wikidata.org/entity/Q1422140,Golden Globe de la meilleure musique de film,1988-01-01,1988
Maurice Jarre,http://www.wikidata.org/entity/Q1422140,Golden Globe de la meilleure musique de film,1965-01-01,1965
Maurice Jarre,http://www.wikidata.org/entity/Q1422140,Golden Globe de la meilleure musique de film,1984-01-01,1984
Maurice Jarre,http://www.wikidata.org/entity/Q727282,César d'honneur,1986-01-01,1986
Édith Butler,http://www.wikidata.org/entity/Q948461,Ordre du Nouveau-Brunswick,2013-01-01,2013
Robert Enrico,http://www.wikidata.org/entity/Q645595,César du meilleur film,1976-01-01,1976
Paul Leduc,http://www.wikidata.org/entity/Q518740,prix national des sciences et des arts,2013-01-01,2013
Kiefer Sutherland,http://www.wikidata.org/entity/Q2414252,Screen Actors Guild Award du meilleur acteur dans une série télévisée dramatique,2006-01-01,2006
Kiefer Sutherland,http://www.wikidata.org/entity/Q3473898,Satellite Award du meilleur acteur dans une série télévisée dramatique,2002-01-01,2002
Kiefer Sutherland,http://www.wikidata.org/entity/Q3473898,Satellite Award du meilleur acteur dans une série télévisée dramatique,2003-01-01,2003
Kiefer Sutherland,http://www.wikidata.org/entity/Q2414252,Screen Actors Guild Award du meilleur acteur dans une série télévisée dramatique,2004-01-01,2004
Kiefer Sutherland,http://www.wikidata.org/entity/Q857933,allée des célébrités canadiennes,2005-01-01,2005
Kiefer Sutherland,http://www.wikidata.org/entity/Q989439,Primetime Emmy Award du meilleur acteur dans une série télévisée dramatique,2006-01-01,2006
Kiefer Sutherland,http://www.wikidata.org/entity/Q989438,Primetime Emmy Award de la meilleure série télévisée dramatique,2006-01-01,2006
Jann Arden,http://www.wikidata.org/entity/Q6314109,prix Juno de la vidéo de l'année,1994-01-01,1994
Jann Arden,http://www.wikidata.org/entity/Q6314050,prix Juno de la révélation de l'année : artiste,1994-01-01,1994
Jann Arden,http://www.wikidata.org/entity/Q6314103,"prix Juno du ""single"" de l'année",1995-01-01,1995
Jann Arden,http://www.wikidata.org/entity/Q6314105,prix Juno du compositeur de l'année,1995-01-01,1995
Jann Arden,http://www.wikidata.org/entity/Q6314074,Prix Juno du meilleur artiste de divertissement,1995-01-01,1995
Jann Arden,http://www.wikidata.org/entity/Q6314109,prix Juno de la vidéo de l'année,1996-01-01,1996
Jann Arden,http://www.wikidata.org/entity/Q857933,allée des célébrités canadiennes,2006-01-01,2006
Jann Arden,http://www.wikidata.org/entity/Q6314105,prix Juno du compositeur de l'année,2002-01-01,2002
Steven Woloshen,http://www.wikidata.org/entity/Q40668857,Prix René-Jodoin,2016-01-01,2016
Corey Hart,http://www.wikidata.org/entity/Q857933,allée des célébrités canadiennes,2016-01-01,2016
Serge Reggiani,http://www.wikidata.org/entity/Q13452531,commandeur des Arts et des Lettres,1995-11-14,1995
Serge Reggiani,http://www.wikidata.org/entity/Q13422141,commandeur de l'ordre national du Mérite,2002-04-30,2002
Serge Reggiani,http://www.wikidata.org/entity/Q10855195,officier de la Légion d'honneur,1997-12-31,1997
Jean Rochefort,http://www.wikidata.org/entity/Q727282,César d'honneur,1999-01-01,1999
Jean Rochefort,http://www.wikidata.org/entity/Q900494,César du meilleur acteur,1978-01-01,1978
Jean Rochefort,http://www.wikidata.org/entity/Q900424,César du meilleur acteur dans un second rôle,1976-01-01,1976
Jean Rochefort,http://www.wikidata.org/entity/Q15960935,chevalier de l'ordre du Mérite agricole,2004-01-01,2004
Jean Rochefort,http://www.wikidata.org/entity/Q932947,prix Lumières du meilleur acteur,2002-01-01,2002
Jean Rochefort,http://www.wikidata.org/entity/Q3405880,prix du meilleur comédien du Syndicat de la critique,1970-01-01,1970
Marion Cotillard,http://www.wikidata.org/entity/Q13452528,chevalier des Arts et des Lettres,2010-03-10,2010
Marion Cotillard,http://www.wikidata.org/entity/Q103618,Oscar de la meilleure actrice,2008-01-01,2008
Marion Cotillard,http://www.wikidata.org/entity/Q10855271,chevalier de la Légion d'honneur,2016-07-01,2016
Marion Cotillard,http://www.wikidata.org/entity/Q13452524,officier des Arts et des Lettres,2016-02-10,2016
Marion Cotillard,http://www.wikidata.org/entity/Q1377738,prix du cinéma européen de la meilleure actrice,2014-01-01,2014
Philippe Katerine,http://www.wikidata.org/entity/Q13452524,officier des Arts et des Lettres,2016-09-13,2016
Anne Coesens,http://www.wikidata.org/entity/Q16010019,Magritte de la meilleure actrice,2011-01-01,2011
Anne Coesens,http://www.wikidata.org/entity/Q16010021,Magritte de la meilleure actrice dans un second rôle,2016-01-01,2016
Jean Amadou,http://www.wikidata.org/entity/Q3405219,Prix Richelieu,2001-01-01,2001
Susan Sarandon,http://www.wikidata.org/entity/Q908858,prix Donostia,1994-01-01,1994
Jean-Charles Tacchella,http://www.wikidata.org/entity/Q734335,prix Louis-Delluc,1975-01-01,1975
Danae Elon,http://www.wikidata.org/entity/Q1316544,bourse Guggenheim,2009-01-01,2009
Kristin Scott Thomas,http://www.wikidata.org/entity/Q13452531,commandeur des Arts et des Lettres,2020-01-01,2020
Kristin Scott Thomas,http://www.wikidata.org/entity/Q12201434,dame commandeur de l'ordre de l'Empire britannique,2015-01-01,2015
Kristin Scott Thomas,http://www.wikidata.org/entity/Q6500774,prix Laurence Olivier de la meilleure actrice,2008-01-01,2008
Kristin Scott Thomas,http://www.wikidata.org/entity/Q3473889,Satellite Award de la meilleure distribution,2002-01-01,2002
Kristin Scott Thomas,http://www.wikidata.org/entity/Q1377738,prix du cinéma européen de la meilleure actrice,2008-01-01,2008
Kristin Scott Thomas,http://www.wikidata.org/entity/Q10855195,officier de la Légion d'honneur,2015-01-01,2015
Kristin Scott Thomas,http://www.wikidata.org/entity/Q787123,British Academy Film Award de la meilleure actrice dans un second rôle,1995-01-01,1995
Kristin Scott Thomas,http://www.wikidata.org/entity/Q922396,Critics' Choice Movie Award de la meilleure distribution,2001-01-01,2001
Kristin Scott Thomas,http://www.wikidata.org/entity/Q518675,Screen Actors Guild Award de la meilleure distribution,2002-01-01,2002
Monique Miller,http://www.wikidata.org/entity/Q15464509,grand officier de l'Ordre national du Québec,2011-01-01,2011
Benny Carter,http://www.wikidata.org/entity/Q880233,Black Filmmakers Hall of Fame,1978-01-01,1978
Benny Carter,http://www.wikidata.org/entity/Q935843,Grammy du couronnement d'une carrière,1987-01-01,1987
Françoise Faucher,http://www.wikidata.org/entity/Q15464524,officier de l'Ordre national du Québec,1997-01-01,1997
Meg Tilly,http://www.wikidata.org/entity/Q822907,Golden Globe de la meilleure actrice dans un second rôle,1985-01-01,1985
Randy Quaid,http://www.wikidata.org/entity/Q1011547,Golden Globes,1987-01-01,1987
Paul Giamatti,http://www.wikidata.org/entity/Q989453,Primetime Emmy Award du meilleur acteur dans une mini-série ou un téléfilm,2008-01-01,2008
Eddie Izzard,http://www.wikidata.org/entity/Q1265782,"Primetime Emmy Award du meilleur scénario pour un programme de variété, musical ou comique",2000-01-01,2000
Eddie Izzard,http://www.wikidata.org/entity/Q5305701,Drama Desk Award du meilleur acteur,2003-01-01,2003
Eddie Izzard,http://www.wikidata.org/entity/Q4377021,Primetime Emmy Award pour la meilleure production individuelle en Variété ou en Musique,2000-01-01,2000
Joan Rivers,http://www.wikidata.org/entity/Q17985761,étoile du Hollywood Walk of Fame,1989-07-26,1989
Maria Callas,http://www.wikidata.org/entity/Q935843,Grammy du couronnement d'une carrière,2007-01-01,2007
Wim Wenders,http://www.wikidata.org/entity/Q674146,Léopard d'honneur,2005-01-01,2005
Wim Wenders,http://www.wikidata.org/entity/Q1300545,anneau d'honneur de la Ville de Wuppertal,2012-01-01,2012
Wim Wenders,http://www.wikidata.org/entity/Q510175,prix de la mise en scène,1987-01-01,1987
Wim Wenders,http://www.wikidata.org/entity/Q1377752,prix du cinéma européen du meilleur film documentaire,2011-01-01,2011
Wim Wenders,http://www.wikidata.org/entity/Q1377752,prix du cinéma européen du meilleur film documentaire,1999-01-01,1999
Wim Wenders,http://www.wikidata.org/entity/Q179808,Palme d'or,1984-01-01,1984
Wim Wenders,http://www.wikidata.org/entity/Q209459,Lion d'or,1982-01-01,1982
Wim Wenders,http://www.wikidata.org/entity/Q318770,ordre du Mérite de la Rhénanie-du-Nord-Westphalie,2004-12-02,2004
Wim Wenders,http://www.wikidata.org/entity/Q20888805,commandeur de l'ordre du Mérite,2017-01-01,2017
Wim Wenders,http://www.wikidata.org/entity/Q1603318,prix Helmut-Käutner,2004-01-01,2004
Wim Wenders,http://www.wikidata.org/entity/Q15056034,Pour le Mérite pour les sciences et arts,2006-01-01,2006
Wim Wenders,http://www.wikidata.org/entity/Q13452531,commandeur des Arts et des Lettres,1993-02-19,1993
Wim Wenders,http://www.wikidata.org/entity/Q10905235,grand officier de l'ordre du Mérite de la République fédérale d'Allemagne,2006-01-01,2006
Wim Wenders,http://www.wikidata.org/entity/Q1377755,prix du cinéma européen du meilleur réalisateur,1988-01-01,1988
Pamela Anderson,http://www.wikidata.org/entity/Q857933,allée des célébrités canadiennes,2006-01-01,2006
Kevin Tierney,http://www.wikidata.org/entity/Q2620100,Prix Génie du meilleur film,2006-01-01,2006
Isabelle Boulay,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2012-01-01,2012
Chevy Chase,http://www.wikidata.org/entity/Q1265782,"Primetime Emmy Award du meilleur scénario pour un programme de variété, musical ou comique",1976-01-01,1976
Claude Jasmin,http://www.wikidata.org/entity/Q3404859,Prix Jean-Hamelin,1965-01-01,1965
Claude Jasmin,http://www.wikidata.org/entity/Q3405179,prix Québec-Paris,1980-01-01,1980
Claude Jasmin,http://www.wikidata.org/entity/Q3405670,prix du Cercle du livre de France,1960-01-01,1960
Claude Jasmin,http://www.wikidata.org/entity/Q3404973,Prix Ludger-Duvernay,1980-01-01,1980
Claude Jasmin,http://www.wikidata.org/entity/Q3404375,prix Athanase-David,2016-01-01,2016
Claude Jasmin,http://www.wikidata.org/entity/Q3405179,prix Québec-Paris,1978-01-01,1978
Denis O'Hare,http://www.wikidata.org/entity/Q1474410,Tony award du meilleur acteur dans un second rôle dans une pièce,2003-01-01,2003
Léonard Forest,http://www.wikidata.org/entity/Q3404452,prix Champlain,1999-01-01,1999
Rod Steiger,http://www.wikidata.org/entity/Q593098,Golden Globe du meilleur acteur dans un film dramatique,1967-01-01,1967
Rod Steiger,http://www.wikidata.org/entity/Q103916,Oscar du meilleur acteur,1967-01-01,1967
Rod Steiger,http://www.wikidata.org/entity/Q3404523,David di Donatello du meilleur acteur étranger,1969-01-01,1969
Rod Steiger,http://www.wikidata.org/entity/Q819973,Ours d'argent du meilleur acteur,1964-01-01,1964
Vojtech Jasny,http://www.wikidata.org/entity/Q10858725,médaille Artis Bohemiae Amicis,2007-06-14,2007
Vojtech Jasny,http://www.wikidata.org/entity/Q510175,prix de la mise en scène,1969-01-01,1969
Vojtech Jasny,http://www.wikidata.org/entity/Q164200,prix du Jury,1963-01-01,1963
Roland Topor,http://www.wikidata.org/entity/Q59783532,Royal Designers for Industry honoraire,1988-01-01,1988
Rock Demers,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,1998-01-01,1998
Rock Demers,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,1987-01-01,1987
Lou Jacobi,http://www.wikidata.org/entity/Q857933,allée des célébrités canadiennes,1999-01-01,1999
Chandra Wilson,http://www.wikidata.org/entity/Q1131356,Theatre World Award,1991-01-01,1991
Ben Vereen,http://www.wikidata.org/entity/Q1723064,Tony Award du meilleur acteur dans une comédie musicale,1973-01-01,1973
Ben Vereen,http://www.wikidata.org/entity/Q1131356,Theatre World Award,1972-01-01,1972
Fernando Arrabal,http://www.wikidata.org/entity/Q20884576,grand-croix de l'ordre d'Alphonse X le Sage,2019-01-01,2019
Fernando Arrabal,http://www.wikidata.org/entity/Q5936220,prix Espasa de Ensayo,1994-01-01,1994
Fernando Arrabal,http://www.wikidata.org/entity/Q3753203,médaille d'or du mérite des beaux-arts,1987-01-01,1987
Jean Cocteau,http://www.wikidata.org/entity/Q56332588,Prix Jules-Davaine,1913-01-01,1913
Jean Cocteau,http://www.wikidata.org/entity/Q734335,prix Louis-Delluc,1946-01-01,1946
Salvador Dali,http://www.wikidata.org/entity/Q17365974,grand-croix de l'ordre d'Isabelle la Catholique,1964-01-01,1964
Len Cariou,http://www.wikidata.org/entity/Q1723064,Tony Award du meilleur acteur dans une comédie musicale,1979-01-01,1979
Len Cariou,http://www.wikidata.org/entity/Q1131356,Theatre World Award,1970-01-01,1970
Philippe Rousselot,http://www.wikidata.org/entity/Q1408819,Marburger Kamerapreis,2020-01-01,2020
Stéphane Audran,http://www.wikidata.org/entity/Q84000,César de la meilleure actrice dans un second rôle,1979-01-01,1979
Stéphane Audran,http://www.wikidata.org/entity/Q610152,Coquille d'argent de la meilleure actrice,1970-01-01,1970
Stéphane Audran,http://www.wikidata.org/entity/Q376834,Ours d'argent de la meilleure actrice,1968-01-01,1968
Stéphane Audran,http://www.wikidata.org/entity/Q687123,British Academy Film Award de la meilleure actrice,1973-01-01,1973
Stéphane Audran,http://www.wikidata.org/entity/Q18601721,chevalier de l'ordre de Dannebrog,1988-01-01,1988
Stéphane Audran,http://www.wikidata.org/entity/Q13452531,commandeur des Arts et des Lettres,1997-05-28,1997
Stéphane Audran,http://www.wikidata.org/entity/Q10855271,chevalier de la Légion d'honneur,1986-01-01,1986
Stéphane Audran,http://www.wikidata.org/entity/Q13422140,officier de l'ordre national du Mérite,1990-01-01,1990
Leonard Cohen,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2015-01-01,2015
Leonard Cohen,http://www.wikidata.org/entity/Q15278107,Compagnon de l’Ordre du Canada,2003-01-01,2003
Leonard Cohen,http://www.wikidata.org/entity/Q15464509,grand officier de l'Ordre national du Québec,2008-01-01,2008
Leonard Cohen,http://www.wikidata.org/entity/Q6314109,prix Juno de la vidéo de l'année,1993-01-01,1993
Leonard Cohen,http://www.wikidata.org/entity/Q179191,Rock and Roll Hall of Fame,2008-01-01,2008
Leonard Cohen,http://www.wikidata.org/entity/Q857933,allée des célébrités canadiennes,2018-01-01,2018
Leonard Cohen,http://www.wikidata.org/entity/Q935843,Grammy du couronnement d'une carrière,2009-01-01,2009
Leonard Cohen,http://www.wikidata.org/entity/Q861660,Songwriters Hall of Fame,2010-01-01,2010
Leonard Cohen,http://www.wikidata.org/entity/Q935843,Grammy du couronnement d'une carrière,2010-01-01,2010
Leonard Cohen,http://www.wikidata.org/entity/Q904528,Grammy Award de l'album de l'année,2007-01-01,2007
Leonard Cohen,http://www.wikidata.org/entity/Q3405815,prix du Gouverneur général pour les arts du spectacle,1993-01-01,1993
Leonard Cohen,http://www.wikidata.org/entity/Q3332454,prix Princesse des Asturies de littérature,2011-01-01,2011
Leonard Cohen,http://www.wikidata.org/entity/Q3405801,prix du Gouverneur général : poésie ou théâtre de langue anglaise,1968-01-01,1968
Leonard Cohen,http://www.wikidata.org/entity/Q6314105,prix Juno du compositeur de l'année,2013-01-01,2013
Leonard Cohen,http://www.wikidata.org/entity/Q3404522,prix Denise-Pelletier,2012-01-01,2012
Leonard Cohen,http://www.wikidata.org/entity/Q3362499,Panthéon de la musique canadienne,1991-01-01,1991
Leonard Cohen,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,1968-01-01,1968
Leonard Cohen,http://www.wikidata.org/entity/Q4376984,prix Juno de l'artiste de l'année,2013-01-01,2013
Leonard Cohen,http://www.wikidata.org/entity/Q6314105,prix Juno du compositeur de l'année,1994-01-01,1994
Leonard Cohen,http://www.wikidata.org/entity/Q1531033,prix Glenn-Gould,2011-01-01,2011
Hal Holbrook,http://www.wikidata.org/entity/Q1571938,National Humanities Medal,2003-01-01,2003
Hal Holbrook,http://www.wikidata.org/entity/Q1445521,Tony Award du meilleur acteur dans une pièce,1966-01-01,1966
Hal Holbrook,http://www.wikidata.org/entity/Q989439,Primetime Emmy Award du meilleur acteur dans une série télévisée dramatique,1971-01-01,1971
Hagood Hardy,http://www.wikidata.org/entity/Q6314081,prix Juno de l'album instrumental de l'année,1977-01-01,1977
Hagood Hardy,http://www.wikidata.org/entity/Q6314081,prix Juno de l'album instrumental de l'année,1976-01-01,1976
Hagood Hardy,http://www.wikidata.org/entity/Q6314105,prix Juno du compositeur de l'année,1976-01-01,1976
Frank Sinatra,http://www.wikidata.org/entity/Q106291,Oscar du meilleur acteur dans un second rôle,1953-01-01,1953
Frank Sinatra,http://www.wikidata.org/entity/Q640353,Cecil B. DeMille Award,1971-01-01,1971
Frank Sinatra,http://www.wikidata.org/entity/Q935843,Grammy du couronnement d'une carrière,1965-01-01,1965
Frank Sinatra,http://www.wikidata.org/entity/Q904528,Grammy Award de l'album de l'année,1959-11-29,1959
Frank Sinatra,http://www.wikidata.org/entity/Q5593916,Grammy Trustees Award,1979-01-01,1979
Frank Sinatra,http://www.wikidata.org/entity/Q1542347,Grammy Legend Award,1994-01-01,1994
Kathleen Turner,http://www.wikidata.org/entity/Q1011564,Golden Globe de la meilleure actrice dans un film musical ou une comédie,1984-01-01,1984
Kathleen Turner,http://www.wikidata.org/entity/Q1011564,Golden Globe de la meilleure actrice dans un film musical ou une comédie,1985-01-01,1985
Luke Kirby,http://www.wikidata.org/entity/Q530923,Primetime Emmy Award du meilleur acteur invité dans une série télévisée comique,2019-01-01,2019
James Cromwell,http://www.wikidata.org/entity/Q945887,Primetime Emmy Award du meilleur acteur dans un second rôle dans une mini-série ou un téléfilm,2013-01-01,2013
James Marsters,http://www.wikidata.org/entity/Q1268066,Saturn Award du meilleur acteur de télévision dans un second rôle,2000-01-01,2000
James Marsters,http://www.wikidata.org/entity/Q1268066,Saturn Award du meilleur acteur de télévision dans un second rôle,2003-01-01,2003
LeVar Burton,http://www.wikidata.org/entity/Q5593890,Grammy Award du meilleur livre audio,1999-01-01,1999
Mathieu Kassovitz,http://www.wikidata.org/entity/Q1377763,Discovery of the Year - Prix FIPRESCI,1995-01-01,1995
William Klein,http://www.wikidata.org/entity/Q16661472,Lucie Award,2005-01-01,2005
William Klein,http://www.wikidata.org/entity/Q1324112,prix international de la Fondation Hasselblad,1990-01-01,1990
Darry Cowl,http://www.wikidata.org/entity/Q900424,César du meilleur acteur dans un second rôle,2004-01-01,2004
Darry Cowl,http://www.wikidata.org/entity/Q727282,César d'honneur,2001-01-01,2001
Frédéric Back,http://www.wikidata.org/entity/Q8025998,prix Winsor-McCay,1986-01-01,1986
Frédéric Back,http://www.wikidata.org/entity/Q3404315,prix Albert-Tessier,1991-01-01,1991
Michel Audiard,http://www.wikidata.org/entity/Q900369,César du meilleur scénario original ou adaptation,1982-01-01,1982
Michel Audiard,http://www.wikidata.org/entity/Q16509832,Prix Jean-Le-Duc,1981-01-01,1981
Michel Audiard,http://www.wikidata.org/entity/Q19952250,Prix Courteline,1974-01-01,1974
Michel Audiard,http://www.wikidata.org/entity/Q95981120,prix des Quatre jurys,1978-01-01,1978
Michel Audiard,http://www.wikidata.org/entity/Q10855271,chevalier de la Légion d'honneur,1976-04-28,1976
Michel Galabru,http://www.wikidata.org/entity/Q900494,César du meilleur acteur,1977-01-01,1977
Michel Galabru,http://www.wikidata.org/entity/Q16665736,médaille de la Ville de Paris,2011-01-01,2011
Michel Galabru,http://www.wikidata.org/entity/Q13422142,grand officier de l'ordre national du Mérite,2013-05-14,2013
Michel Galabru,http://www.wikidata.org/entity/Q3405661,prix du Brigadier,2011-01-01,2011
Michel Galabru,http://www.wikidata.org/entity/Q3391062,Plaisir du théâtre,2007-01-01,2007
Michel Galabru,http://www.wikidata.org/entity/Q13422141,commandeur de l'ordre national du Mérite,2000-12-14,2000
Michel Galabru,http://www.wikidata.org/entity/Q3319581,Molières 2008,2008-01-01,2008
Richard Clark,http://www.wikidata.org/entity/Q1150306,Disney Legend,2013-01-01,2013
Richard Clark,http://www.wikidata.org/entity/Q5593916,Grammy Trustees Award,1990-01-01,1990
Marie Laberge,http://www.wikidata.org/entity/Q3114234,Grand Prix des lectrices de ELLE Québec,1993-01-01,1993
Marie Laberge,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2015-01-01,2015
Marie Laberge,http://www.wikidata.org/entity/Q15463524,chevalier de l'Ordre national du Québec,2004-01-01,2004
Marie Laberge,http://www.wikidata.org/entity/Q3405963,prix littéraires du Gouverneur général,1981-01-01,1981
Jean Delannoy,http://www.wikidata.org/entity/Q33139180,Prix Montyon - prix de vertu,1888-01-01,1888
Georges Wilson,http://www.wikidata.org/entity/Q13452531,commandeur des Arts et des Lettres,1983-02-21,1983
Georges Wilson,http://www.wikidata.org/entity/Q1943514,Molière du comédien dans un second rôle,2001-01-01,2001
Jean Yanne,http://www.wikidata.org/entity/Q586140,prix d'interprétation masculine,1972-01-01,1972
Bretislav Pojar,http://www.wikidata.org/entity/Q1141859,médaille du Mérite de la République tchèque,2008-10-28,2008
Bretislav Pojar,http://www.wikidata.org/entity/Q63981606,citoyen d'honneur de Prague 2,2007-10-08,2007
Jean-François Stévenin,http://www.wikidata.org/entity/Q20723634,prix France Culture Cinéma,2002-01-01,2002
Jean Douchet,http://www.wikidata.org/entity/Q13452531,commandeur des Arts et des Lettres,2014-07-09,2014
Michel Lessard,http://www.wikidata.org/entity/Q3404786,prix Gérard-Morisset,1996-01-01,1996
Marie Brassard,http://www.wikidata.org/entity/Q61478580,Compagne/Compagnon de l'Ordre des arts et des lettres du Québec,2016-01-01,2016
Shannon Tweed,http://www.wikidata.org/entity/Q728711,playmate,1981-11-01,1981
Buster Keaton,http://www.wikidata.org/entity/Q727328,Oscar d'honneur,1959-01-01,1959
Jamie Lee Curtis,http://www.wikidata.org/entity/Q787123,British Academy Film Award de la meilleure actrice dans un second rôle,1984-01-01,1984
Jamie Lee Curtis,http://www.wikidata.org/entity/Q1011564,Golden Globe de la meilleure actrice dans un film musical ou une comédie,1994-01-01,1994
David Copperfield,http://www.wikidata.org/entity/Q3285563,Mandrake d'or,2000-01-01,2000
Marie-Josée Longchamps,http://www.wikidata.org/entity/Q21672149,chevalier de l'ordre de la Pléiade,2004-01-01,2004
Margaret Laurence,http://www.wikidata.org/entity/Q992455,prix Molson,1974-01-01,1974
Margaret Laurence,http://www.wikidata.org/entity/Q3405805,prix du Gouverneur général : romans et nouvelles de langue anglaise,1966-01-01,1966
Margaret Laurence,http://www.wikidata.org/entity/Q3405805,prix du Gouverneur général : romans et nouvelles de langue anglaise,1974-01-01,1974
Omar Sharif,http://www.wikidata.org/entity/Q900494,César du meilleur acteur,2004-01-01,2004
Omar Sharif,http://www.wikidata.org/entity/Q1534906,Golden Globe de la révélation masculine de l'année,1963-01-01,1963
Victor Garber,http://www.wikidata.org/entity/Q857933,allée des célébrités canadiennes,2013-01-01,2013
